Annotation,Gene length,GENES,UNIPROTKB,WP,non_diazotroph_hits,diazotroph_hits,unicellular_diazotroph_hits,filamentous_diazotroph_hits,avg_group_pident,Protein_names,Croco_%ID_x,Croco_%ID_y,Croco_%ID,FOX probability,Prob_per_len
all1597,1180,all1597,Q8YWL1,WP_010995766,,,,,,Omega-3 fatty acid desaturase,,,,0.7400308852499999,0.0006271448180084745
alr2729,601,alr2729,Q8YTI8,WP_010996882,,,,,,Alr2729 protein,,,,0.5510217362500001,0.0009168414912645591
alr3059,2284,alr3059,Q8YSM5,WP_010997210,,,,,,Alr3059 protein,,,,0.524870038,0.00022980299387040279
all5344,568,all5344,Q8YLF4,WP_010999468,,,,,,All5344 protein,,,,0.6937362215,0.0012213665871478874
alr1519,1468,alr1519,Q8YWT1,WP_010995688,,,,,,Amino acid transporter,,,,0.5197704114999999,0.00035406703780653943
alr1407,1234,alr1407,Q44290,WP_010995579,0.0,5.0,0.0,5.0,91.578,Homocitrate synthase 1 (EC 2.3.3.14),0.0,0.0,0.0,0.731732999,0.0005929764983792545
all5342,1330,all5342,Q8YLF6,WP_010999466,,,,,,All5342 protein,,,,0.7571603972500001,0.0005692935317669173
alr2836,1069,alr2836,P22639,WP_010996987,,,,,,Uncharacterized glycosyltransferase alr2836 (EC 2.4.-.-),,,,0.71076305025,0.0006648859216557531
alr2823,883,alr2823,Q8YTA1,WP_010996974,,,,,,Alr2823 protein,,,,0.52326657425,0.0005926008768403171
all3772,1036,all3772,Q8YQP8,WP_010997913,,,,,,All3772 protein,,,,0.67173241275,0.0006483903597972972
all4376,1369,all4376,Q939U9,WP_010998513,,,,,,All4376 protein (Sucrose-phosphate synthase),,,,0.47720977425,0.000348582742330168
alr2141,1084,alr2141,Q8YV40,WP_010996299,,,,,,Alr2141 protein,,,,0.44796224475,0.00041324930327490776
alr3072,1372,alr3072,Q8YSL2,WP_010997223,,,,,,Alr3072 protein,,,,0.5324526872500001,0.00038808504901603503
alr1561,2794,alr1561,Q8YWP3,WP_010995730,,,,,,Alr1561 protein,,,,0.55895166,0.00020005428060128845
alr3825,994,alr3825,Q8YQJ8,WP_010997966,,,,,,Alr3825 protein,,,,0.269893153,0.0002715222867203219
all0919,1390,all0919,Q8YYD1,WP_010995093,,,,,,All0919 protein,,,,0.34741629474999997,0.0002499397803956834
alr0672,1402,alr0672,Q8YZ15,WP_010994848,,,,,,Alr0672 protein,,,,0.32022038175,0.00022840255474322396
alr5340,1327,alr5340,Q8YLF8,WP_010999464,,,,,,Alr5340 protein,,,,0.48299635025,0.0003639761493971364
alr5159,1126,alr5159,Q8YLY7,WP_010999283,,,,,,Alr5159 protein,,,,0.362766989,0.0003221731696269982
all2747,550,all2747,Q8YTH0,WP_010996900,,,,,,All2747 protein,,,,0.427964645,0.0007781175363636363
all2127,1459,all2127,Q8YV54,WP_010996285,,,,,,All2127 protein,,,,0.453535287,0.0003108535209047293
all1711,1300,all1711,Q8YWA4,WP_010995880,,,,,,All1711 protein,,,,0.5572617605,0.00042866289269230767
alr3472,1774,alr3472,Q8YRH5,WP_010997622,,,,,,Alr3472 protein,,,,0.38559078825000004,0.00021735670138105977
all5036,1513,all5036,Q8YM98,WP_010999162,,,,,,All5036 protein,,,,0.602640462,0.00039830830270984796
all4427,1036,all4427,Q8YNY2,WP_010998562,,,,,,All4427 protein,,,,0.59351651,0.0005728923841698842
alr1520,760,alr1520,Q8YWT0,WP_010995689,,,,,,Alr1520 protein,,,,0.26832719775,0.0003530621023026316
alr1634,964,alr1634,Q8YWH9,WP_010995803,,,,,,Alr1634 protein,,,,0.409601075,0.00042489738070539417
all1424,475,all1424,Q8YWZ5,WP_010995596,,,,,,All1424 protein,,,,0.461251032,0.0009710548042105264
alr4604,2992,alr4604,Q8YNG2,WP_010998735,,,,,,Type I restriction enzyme endonuclease subunit (R protein) (EC 3.1.21.3),,,,0.37586083174999996,0.00012562193574532085
asl2299,325,asl2299,Q8YUN8,WP_010996456,,,,,,Asl2299 protein,,,,0.46371644725,0.0014268198376923076
all2965,589,all2965,Q8YSW4,WP_010997116,,,,,,All2965 protein,,,,0.28171367425000005,0.0004782914673174873
alr3071,1057,alr3071,Q8YSL3,WP_010997222,,,,,,Alr3071 protein,,,,0.6605698787500001,0.000624947851229896
alr3070,1057,alr3070,Q8YSL4,WP_010997221,,,,,,Alr3070 protein,,,,0.665526219,0.0006296369148533586
alr0691,1090,alr0691,Q9WWQ1,WP_010994866,,,,,,Alr0691 protein,,,,0.253975542,0.00023300508440366973
alr2440,1105,alr2440,Q8YUB2,WP_010996596,0.0,5.0,0.0,5.0,92.216,(S)-8-amino-7-oxononanoate synthase BioU (EC 2.6.1.121) (8-amino-7-oxononanoate carboxylating dehydrogenase),0.0,0.0,0.0,0.275779032,0.0002495737846153846
all2869,1405,all2869,Q8YT57,WP_010997020,,,,,,All2869 protein,,,,0.50863765625,0.00036201968416370105
alr3863,886,alr3863,Q8YQG8,WP_010998004,,,,,,Alr3863 protein,,,,0.274818773,0.0003101792020316027
alr4619,901,alr4619,Q8YNE7,WP_010998750,,,,,,Alr4619 protein,,,,0.378597921,0.0004201974705882353
alr4057,1909,alr4057,Q8YPY3,WP_010998197,,,,,,Alr4057 protein,,,,0.24878802475,0.00013032374266631745
alr4492,1129,alr4492,Q8YNR9,WP_010998625,,,,,,Alr4492 protein,,,,0.634960858,0.000562409971656333
all4688,988,all4688,Q8YN82,WP_010998819,,,,,,All4688 protein,,,,0.51132251675,0.0005175329116902834
all4316,1210,all4316,Q8YP83,WP_010998454,0.0,5.0,0.0,5.0,89.59700000000001,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase),0.0,0.0,0.0,0.261903163,0.0002164488950413223
alr3064,1513,alr3064,Q8YSM0,WP_010997215,,,,,,Alr3064 protein,,,,0.28307183725,0.00018709308476536684
all3792,652,all3792,Q8YQM8,WP_010997933,,,,,,All3792 protein,,,,0.49752840325000003,0.0007630803730828221
alr2832,1189,alr2832,Q8YT92,WP_010996983,0.0,5.0,0.0,5.0,89.48275000000001,Alr2832 protein,0.0,0.0,0.0,0.64075549025,0.0005389028513456686
all2585,1141,all2585,Q8YTX8,WP_010996741,,,,,,Iron(III) dicitrate transport system permease protein,,,,0.21089357025,0.0001848322263365469
asl4022,385,asl4022,Q44556,WP_010998162,,,,,,Putative RNA-binding protein RbpD,,,,0.55466988925,0.0014407010110389612
alr3715,400,alr3715,Q8YQV1,WP_010997858,,,,,,Alr3715 protein,,,,0.533873544,0.00133468386
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
alr4392,772,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein),86.818,86.818,86.818,0.515873678,0.0006682301528497409
all3538,1390,all3538,Q8YRB0,WP_010997688,0.0,5.0,0.0,5.0,93.29825,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),0.0,0.0,0.0,0.2671391755,0.0001921864571942446
all4121,1423,all4121,P58558,WP_010998260,0.0,5.0,0.0,5.0,88.093,Ferredoxin--NADP reductase (FNR) (EC 1.18.1.2),0.0,0.0,0.0,0.444105774,0.0003120911974701335
all2868,796,all2868,Q8YT58,WP_010997019,,,,,,All2868 protein,,,,0.29918900275,0.0003758655813442211
alr3057,1315,alr3057,Q8YSM7,WP_010997208,,,,,,Alr3057 protein,,,,0.40856078225000003,0.00031069261007604567
alr2829,913,alr2829,Q8YT95,WP_010996980,,,,,,Alr2829 protein,,,,0.610098884,0.0006682353603504929
alr3921,1456,alr3921,Q8YQB2,WP_010998062,0.0,5.0,0.0,5.0,87.71875,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)],0.0,0.0,0.0,0.30511596925,0.00020955767118818682
alr3095,1069,alr3095,Q8YSJ0,WP_010997246,0.0,5.0,0.0,5.0,88.66449999999999,Alr3095 protein (Arsenite methyltransferase),0.0,0.0,0.0,0.27595934225,0.00025814718638914876
alr2888,478,alr2888,Q8YT38,WP_010997039,,,,,,Alr2888 protein,,,,0.3517426994999999,0.0007358633880753136
alr2464,1189,alr2464,Q8YU90,WP_010996620,,,,,,Alr2464 protein,,,,0.30106010275,0.00025320445984020187
alr5358,964,alr5358,P37694,WP_010999482,,,,,,Ketoacyl reductase HetN (EC 1.3.1.-),,,,0.49987417674999995,0.000518541677126556
asr5262,280,asr5262,Q7A273,WP_010999386,0.0,5.0,0.0,5.0,88.41050000000001,CAB/ELIP/HLIP superfamily of protein,0.0,0.0,0.0,0.34091383975,0.0012175494276785714
alr5065,1585,alr5065,Q8YM75,WP_010999191,0.0,5.0,0.0,5.0,87.7875,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase),0.0,0.0,0.0,0.25097453625,0.00015834355599369084
all4190,451,all4190,Q8YPK4,WP_010998329,0.0,5.0,0.0,5.0,91.16375,Large ribosomal subunit protein bL17 (50S ribosomal protein L17),0.0,0.0,0.0,0.314568454,0.0006974910288248337
alr2935,1216,alr2935,Q8YSZ4,WP_010997086,,,,,,Probable endolytic peptidoglycan transglycosylase RlpA (EC 4.2.2.-),,,,0.29704507825,0.0002442804919819079
alr2828,1114,alr2828,Q8YT96,WP_010996979,,,,,,Alr2828 protein,,,,0.62126898575,0.0005576920877468582
alr4798,1303,alr4798,Q8YMX6,WP_010998928,0.0,7.0,2.0,5.0,92.975,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),0.0,0.0,0.0,0.39739199975,0.0003049823482348427
all4826,1045,all4826,Q8YMV0,WP_010998954,1.0,5.0,0.0,5.0,91.71975,"GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)",0.0,0.0,0.0,0.46900696325,0.00044881049114832536
alr2791,3670,alr2791,Q8YTD1,WP_010996942,,,,,,WD-repeat protein,,,,0.286739852,7.813074986376022e-05
all1704,820,all1704,Q8YWB1,WP_010995873,,,,,,Two-component response regulator,,,,0.25410961574999996,0.000309889775304878
all2571,550,all2571,Q8YTZ2,WP_010996727,,,,,,All2571 protein,,,,0.35349798750000005,0.0006427236136363637
all5058,658,all5058,Q44247,WP_010999184,1.0,5.0,0.0,5.0,92.162,Elongation factor P (EF-P),0.0,0.0,0.0,0.34664668925,0.0005268186766717325
alr3858,1387,alr3858,P45482,WP_010997999,0.0,5.0,0.0,5.0,93.99175,Cell division protein FtsZ,0.0,0.0,0.0,0.36003185024999995,0.000259575955479452
asl4328,307,asl4328,Q8YP72,WP_010998466,0.0,5.0,0.0,5.0,88.74974999999999,Asl4328 protein,0.0,0.0,0.0,0.295064063,0.0009611207263843648
alr1850,2314,alr1850,Q8YVW9,WP_010996018,1.0,5.0,0.0,5.0,91.2145,Alr1850 protein,0.0,0.0,0.0,0.38324038025,0.0001656181418539326
alr3883,598,alr3883,Q8YQF0,WP_010998024,0.0,5.0,0.0,5.0,89.71375,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)",0.0,0.0,0.0,0.28933726425,0.0004838415790133779
alr3357,1315,alr3357,Q8YRT6,WP_010997508,,,,,,Alr3357 protein,,,,0.24037187925,0.00018279230361216732
all1476,556,all1476,Q8YWW8,WP_010995646,,,,,,All1476 protein,,,,0.398141192,0.0007160812805755395
all3797,886,all3797,Q8YQM3,WP_010997938,,,,,,All3797 protein,,,,0.24664203425000003,0.00027837701382618516
alr2629,412,alr2629,Q8YTT4,WP_010996785,,,,,,Alr2629 protein,,,,0.262929801,0.0006381791286407767
alr2708,1135,alr2708,Q8YTK9,WP_010996861,1.0,8.0,3.0,5.0,94.19225,Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1),81.924,81.924,81.924,0.2229629905,0.00019644316343612336
all4426,1354,all4426,Q8YNY3,WP_010998561,,,,,,All4426 protein,,,,0.48729532775,0.00035989315195716394
asr2016,394,asr2016,Q8YVG2,WP_010996177,,,,,,Asr2016 protein,,,,0.381327701,0.0009678368045685279
asl4211,379,asl4211,Q8YPI3,WP_010998349,2.0,10.0,5.0,5.0,94.83675,Small ribosomal subunit protein uS19 (30S ribosomal protein S19),82.609,82.609,82.609,0.213792262,0.0005640956781002639
alr2831,1414,alr2831,Q8YT93,WP_010996982,0.0,5.0,0.0,5.0,90.0735,Alr2831 protein,0.0,0.0,0.0,0.43859088775,0.00031017743122347947
alr4329,439,alr4329,Q8YP71,WP_010998467,,,,,,Anti-sigma factor antagonist,,,,0.370703298,0.0008444266469248291
all2128,439,all2128,Q8YV53,WP_010996286,,,,,,All2128 protein,,,,0.39204731125000003,0.0008930462670842825
all3000,1237,all3000,Q8YST4,WP_010997151,,,,,,type I site-specific deoxyribonuclease (EC 3.1.21.3),,,,0.29062715525000005,0.000234945153799515
all1456,1003,all1456,P20628,WP_010995627,,,,,,Nitrogen fixation protein NifU,,,,0.57512615425,0.000573405936440678
alr2837,1075,alr2837,Q8YT89,WP_010996988,,,,,,Glycosyltransferase,,,,0.595746404,0.0005541827013953489
alr3283,2719,alr3283,Q8YS09,WP_010997434,0.0,5.0,0.0,5.0,88.83049999999999,Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS),0.0,0.0,0.0,0.37000876475,0.00013608266449062156
alr2895,880,alr2895,Q8YT31,WP_010997046,3.0,10.0,5.0,5.0,92.05275,Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF),82.283,82.283,82.283,0.241332744,0.00027424175454545454
all5194,1261,all5194,Q8YLV2,WP_010999318,,,,,,Glycosyltransferase,,,,0.2649988,0.00021014972244250593
all3717,1867,all3717,Q8YQU9,WP_010997860,0.0,5.0,0.0,5.0,89.75325000000001,Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS),0.0,0.0,0.0,0.28352419725,0.0001518608448044992
alr3890,841,alr3890,Q8YQE3,WP_010998031,,,,,,Alr3890 protein,,,,0.255142042,0.00030337936028537456
all3826,826,all3826,Q8YQJ7,WP_010997967,,,,,,All3826 protein,,,,0.31930741175,0.00038657071640435834
all1288,1252,all1288,Q8YXC6,WP_010995460,,,,,,All1288 protein,,,,0.18312265225,0.00014626409924121405
asl3721,295,asl3721,Q8YQU5,WP_010997864,,,,,,Periplasmic mercuric ion binding protein,,,,0.308164788,0.0010446264
all1862,1102,all1862,Q8YVW1,WP_010996026,,,,,,All1862 protein,,,,0.383612844,0.0003481060290381125
alr1337,1042,alr1337,Q8YX78,WP_010995509,,,,,,Alr1337 protein,,,,0.20511058025,0.00019684316722648753
all3521,439,all3521,Q8YRC7,WP_010997671,,,,,,All3521 protein,,,,0.22471880249999998,0.0005118879328018223
alr2560,1060,alr2560,Q8YU01,WP_010996716,,,,,,Alr2560 protein,,,,0.26092153625000003,0.0002461523926886793
alr0699,442,alr0699,O30461,WP_010994874,,,,,,Hydrogenase maturation factor HypA,,,,0.19922401099999998,0.00045073305656108593
alr3946,925,alr3946,Q8YQ88,WP_010998087,,,,,,Putative ABC transporter ATP-binding protein alr3946 (EC 7.-.-.-),,,,0.2248547375,0.0002430862027027027
alr5360,928,alr5360,Q8YLE2,WP_010999484,,,,,,Alr5360 protein,,,,0.469962702,0.0005064253254310345
all4375,904,all4375,Q8YP26,WP_010998512,,,,,,All4375 protein,,,,0.360458208,0.0003987369557522124
all2501,1327,all2501,P58666,WP_010996657,3.0,10.0,5.0,5.0,94.9755,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase),88.235,88.235,88.235,0.335479746,0.00025281066013564435
alr3062,1066,alr3062,Q8YSM2,WP_010997213,,,,,,Alr3062 protein,,,,0.26583035,0.0002493718105065666
all2777,400,all2777,Q9WX37,WP_010996928,,,,,,Putative RNA-binding protein RbpE,,,,0.45583747425,0.0011395936856249999
all3840,628,all3840,Q44241,WP_010997981,0.0,5.0,0.0,5.0,89.87899999999999,NAD(P)H-quinone oxidoreductase subunit J (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit J) (NADH-plastoquinone oxidoreductase subunit J) (NDH-1 subunit J) (NDH-J),0.0,0.0,0.0,0.2051870245,0.0003267309307324841
all3254,538,all3254,Q8YS37,WP_010997405,,,,,,All3254 protein,,,,0.2105303435,0.0003913203410780669
all5057,649,all5057,Q06881,WP_010999183,,,,,,Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP),,,,0.311947053,0.0004806580169491525
alr2478,496,alr2478,Q8YU76,WP_010996634,,,,,,Alr2478 protein,,,,0.29184057274999997,0.0005883882515120968
all2487,775,all2487,Q8YU67,WP_010996643,,,,,,All2487 protein,,,,0.176563713,0.00022782414580645164
alr2374,490,alr2374,Q8YUH2,WP_010996530,,,,,,Alr2374 protein,,,,0.192166859,0.0003921772632653061
asl4743,292,asl4743,Q8YN27,WP_010998874,,,,,,Asl4743 protein,,,,0.43633879775,0.00149431095119863
all4428,1336,all4428,Q8YNY1,WP_010998563,,,,,,All4428 protein,,,,0.25898028775,0.00019384752077095807
asr1714,373,asr1714,Q8YWA1,WP_010995883,,,,,,Asr1714 protein,,,,0.22883638575,0.0006135023746648793
alr3622,523,alr3622,Q8YR31,WP_010997768,,,,,,Alr3622 protein,,,,0.27719388825,0.0005300074345124283
asl3409,394,asl3409,Q8YRN5,WP_010997559,0.0,5.0,0.0,5.0,90.464,proton-translocating NAD(P)(+) transhydrogenase (EC 7.1.1.1),0.0,0.0,0.0,0.331670392,0.0008418030253807106
alr3204,481,alr3204,Q8YS87,WP_010997355,,,,,,Alr3204 protein,,,,0.27574454375,0.0005732734797297298
alr2625,1144,alr2625,Q8YTT8,WP_010996781,,,,,,Transcriptional regulator,,,,0.22554253325,0.00019715256402972028
alr2785,2050,alr2785,Q8YTD7,WP_010996936,,,,,,Alr2785 protein,,,,0.3073155455,0.00014991002219512197
alr2582,1072,alr2582,Q8YTY1,WP_010996738,,,,,,Alr2582 protein,,,,0.3860943795,0.0003601626674440298
all4193,481,all4193,Q8YPK1,WP_010998332,3.0,10.0,5.0,5.0,95.63475,Small ribosomal subunit protein uS13 (30S ribosomal protein S13),85.149,85.149,85.149,0.11113488925,0.0002310496658004158
asr1734,382,asr1734,Q8YW82,WP_010995902,0.0,5.0,0.0,5.0,93.47675,Asr1734 protein,0.0,0.0,0.0,0.302108133,0.0007908589869109947
alr5272,2356,alr5272,Q8YLM6,WP_010999396,,,,,,histidine kinase (EC 2.7.13.3),,,,0.48022459900000003,0.0002038304749575552
alr2947,532,alr2947,Q8YSY2,WP_010997098,,,,,,Alr2947 protein,,,,0.2356719825,0.0004429924483082707
all4336,418,all4336,Q8YP64,WP_010998474,3.0,10.0,5.0,5.0,99.762,Small ribosomal subunit protein uS10 (30S ribosomal protein S10),94.286,94.286,94.286,0.438413632,0.0010488364401913875
all5046,505,all5046,Q8YM90,WP_010999172,,,,,,All5046 protein,,,,0.29313932774999996,0.0005804739163366336
alr2524,412,alr2524,Q8YU37,WP_010996680,,,,,,Alr2524 protein,,,,0.43896479625,0.0010654485345873786
alr1713,448,alr1713,Q8YWA2,WP_010995882,,,,,,Alr1713 protein,,,,0.361428178,0.0008067593258928571
asl1778,337,asl1778,Q8YW38,WP_010995946,,,,,,Asl1778 protein,,,,0.20991182300000003,0.0006228837477744808
asl3261,298,asl3261,Q8YS30,WP_010997412,,,,,,Asl3261 protein,,,,0.24744735975,0.0008303602676174497
all4689,610,all4689,Q8YN81,WP_010998820,,,,,,All4689 protein,,,,0.25551531025,0.00041887755778688526
alr4111,2251,alr4111,Q8YPT0,WP_010998250,,,,,,Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS),,,,0.21774667,9.673330519768991e-05
alr3864,1291,alr3864,Q8YQG7,WP_010998005,0.0,5.0,0.0,5.0,84.917,Alr3864 protein,0.0,0.0,0.0,0.27033333025,0.00020939839678543764
all2498,1069,all2498,P54894,WP_010996654,,,,,,N-acetyl-gamma-glutamyl-phosphate reductase 2 (AGPR 2) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase 2) (NAGSA dehydrogenase 2),,,,0.18598323925,0.00017397870837231055
alr1613,859,alr1613,Q8YWK0,WP_010995782,,,,,,peptidylprolyl isomerase (EC 5.2.1.8),,,,0.25788575075,0.00030021624068684514
alr3491,1141,alr3491,Q8YRF7,WP_010997641,,,,,,Alr3491 protein,,,,0.22255956425,0.0001950565856704645
asl1840,352,asl1840,Q8YVX9,WP_010996008,,,,,,Asl1840 protein,,,,0.28759556475,0.000817032854403409
alr4554,973,alr4554,Q8YNL1,WP_010998686,,,,,,"6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)",,,,0.37222096425000006,0.0003825498090955807
all1747,451,all1747,Q8YW69,WP_010995915,,,,,,All1747 protein,,,,0.21087214325,0.000467565727827051
alr3882,859,alr3882,Q8YQF1,WP_010998023,0.0,5.0,0.0,5.0,91.4135,tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase),0.0,0.0,0.0,0.25618506950000003,0.00029823640221187433
all2006,1249,all2006,Q8YVH2,WP_010996167,,,,,,All2006 protein,,,,0.30467778375,0.0002439373769015212
alr1677,943,alr1677,Q8YWD6,WP_010995846,,,,,,Alr1677 protein,,,,0.26612895999999997,0.00028221522799575817
all4187,517,all4187,Q8YPK7,WP_010998326,1.0,7.0,2.0,5.0,95.47125,Small ribosomal subunit protein uS9 (30S ribosomal protein S9),0.0,0.0,0.0,0.22559331175000003,0.00043635069970986466
all0192,1762,all0192,Q8Z0A6,WP_010994369,,,,,,non-specific serine/threonine protein kinase (EC 2.7.11.1),,,,0.31432161975,0.00017838911450056754
