qseqid,non_diazotroph_hits,diazotroph_hits,unicellular_diazotroph_hits,filamentous_diazotroph_hits,anabaena_sp_pcc7120_pident,anabaena_sp_pcc7120_acc,nostoc_punctiforme_pcc73102_pident,nostoc_punctiforme_pcc73102_acc,anabaena_variabilis_atcc29413_pident,anabaena_variabilis_atcc29413_acc,nostoc_azollae_0708_pident,nostoc_azollae_0708_acc,nostoc_sp_pcc7524_pident,nostoc_sp_pcc7524_acc,crocosphaera_subtropica_atcc51142_pident,crocosphaera_subtropica_atcc51142_acc,cyanothece_sp_atcc51142_pident,cyanothece_sp_atcc51142_acc,crocosphaera_watsonii_wh8501_pident,crocosphaera_watsonii_wh8501_acc,gloeothece_sp_6803_pident,gloeothece_sp_6803_acc,cyanosphaera_ocelotica_wh8902_pident,cyanosphaera_ocelotica_wh8902_acc,arthrospira_platensis_nies39_pident,arthrospira_platensis_nies39_acc,arthrospira_maxima_cs-328_pident,arthrospira_maxima_cs-328_acc,lyngbya_aestuarii_bl0902_pident,lyngbya_aestuarii_bl0902_acc,limnothrix_planctonica_pcm8136_pident,limnothrix_planctonica_pcm8136_acc,trichodesmium_erythraeum_ims101_pident,trichodesmium_erythraeum_ims101_acc,synechocystis_sp_pcc6803_pident,synechocystis_sp_pcc6803_acc,synechococcus_elongatus_pcc7942_pident,synechococcus_elongatus_pcc7942_acc,prochlorococcus_marinus_mediterranei_pident,prochlorococcus_marinus_mediterranei_acc,cyanidioschyzon_merolae_10d_pident,cyanidioschyzon_merolae_10d_acc,gloeobacter_violaceus_pcc7421_pident,gloeobacter_violaceus_pcc7421_acc,avg_group_pident
anabaena_sp_pcc7120_WP_010994220.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994220.1,86.957,nostoc_punctiforme_pcc73102_WP_012406943.1,97.101,anabaena_variabilis_atcc29413_tr|Q3M9S8|Q3M9S8_TRIV2,81.429,nostoc_azollae_0708_tr|D7DVL1|D7DVL1_NOSA0,86.957,nostoc_sp_pcc7524_tr|K9QMJ1|K9QMJ1_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,88.11099999999999
anabaena_sp_pcc7120_WP_010994221.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994221.1,92.188,nostoc_punctiforme_pcc73102_WP_012406942.1,99.219,anabaena_variabilis_atcc29413_tr|Q3M9S7|Q3M9S7_TRIV2,87.5,nostoc_azollae_0708_tr|D7DVL0|D7DVL0_NOSA0,94.531,nostoc_sp_pcc7524_tr|K9QLJ5|K9QLJ5_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,93.3595
anabaena_sp_pcc7120_WP_010994222.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994222.1,86.928,nostoc_punctiforme_pcc73102_WP_012406941.1,99.342,anabaena_variabilis_atcc29413_tr|Q3M9S6|Q3M9S6_TRIV2,83.333,nostoc_azollae_0708_tr|D7DVK9|D7DVK9_NOSA0,88.312,nostoc_sp_pcc7524_tr|K9QK87|K9QK87_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,89.47874999999999
anabaena_sp_pcc7120_WP_010994225.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994225.1,94.527,nostoc_punctiforme_pcc73102_WP_012406938.1,100.0,anabaena_variabilis_atcc29413_tr|Q3M9S3|Q3M9S3_TRIV2,86.0,nostoc_azollae_0708_tr|D7DWF0|D7DWF0_NOSA0,92.04,nostoc_sp_pcc7524_tr|K9QW78|K9QW78_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,93.14175
anabaena_sp_pcc7120_WP_010994226.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994226.1,83.955,nostoc_punctiforme_pcc73102_WP_012406934.1,97.619,anabaena_variabilis_atcc29413_tr|Q3M9S2|Q3M9S2_TRIV2,80.242,nostoc_azollae_0708_tr|D7DWF1|D7DWF1_NOSA0,85.401,nostoc_sp_pcc7524_tr|K9QXP0|K9QXP0_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,86.80425000000001
anabaena_sp_pcc7120_WP_010994228.1,3,10,5,5,100.0,anabaena_sp_pcc7120_WP_010994228.1,94.315,nostoc_punctiforme_pcc73102_WP_012411837.1,99.225,anabaena_variabilis_atcc29413_tr|Q3M9S0|Q3M9S0_TRIV2,93.798,nostoc_azollae_0708_tr|D7E349|D7E349_NOSA0,93.023,nostoc_sp_pcc7524_tr|K9QWR3|K9QWR3_NOSS7,83.721,crocosphaera_subtropica_atcc51142_tr|B1WXL6|B1WXL6_CROS5,83.721,cyanothece_sp_atcc51142_tr|B1WXL6|B1WXL6_CROS5,82.429,crocosphaera_watsonii_wh8501_tr|Q4C606|Q4C606_CROWT,86.423,gloeothece_sp_6803_tr|B7KDK3|B7KDK3_GLOC7,86.423,cyanosphaera_ocelotica_wh8902_tr|B7KDK3|B7KDK3_GLOC7,0,,87.08,arthrospira_maxima_cs-328_tr|B5VZV3|B5VZV3_LIMMA,89.406,lyngbya_aestuarii_bl0902_tr|K8GL28|K8GL28_9CYAN,0,,0,,0,,85.53,synechococcus_elongatus_pcc7942_tr|P73853|P73853_SYNY3,0.0,,0,,0,,95.09025
anabaena_sp_pcc7120_WP_010994237.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994237.1,90.323,nostoc_punctiforme_pcc73102_WP_012411890.1,96.842,anabaena_variabilis_atcc29413_tr|Q3M9R1|Q3M9R1_TRIV2,85.714,nostoc_azollae_0708_tr|D7DYN3|D7DYN3_NOSA0,89.247,nostoc_sp_pcc7524_tr|K9QN19|K9QN19_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,90.53150000000001
anabaena_sp_pcc7120_WP_010994239.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994239.1,82.353,nostoc_punctiforme_pcc73102_WP_012407479.1,97.059,anabaena_variabilis_atcc29413_tr|Q3M9Q9|Q3M9Q9_TRIV2,80.882,nostoc_azollae_0708_tr|D7DZ42|D7DZ42_NOSA0,88.235,nostoc_sp_pcc7524_tr|K9QQP6|K9QQP6_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,87.13225
anabaena_sp_pcc7120_WP_010994240.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994240.1,82.707,nostoc_punctiforme_pcc73102_WP_012407480.1,99.248,anabaena_variabilis_atcc29413_sp|Q3M9Q8|RBFA_TRIV2,82.576,nostoc_azollae_0708_tr|D7DZ41|D7DZ41_NOSA0,87.879,nostoc_sp_pcc7524_tr|K9QPS1|K9QPS1_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,88.10249999999999
anabaena_sp_pcc7120_WP_010994241.1,2,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994241.1,97.436,nostoc_punctiforme_pcc73102_WP_012407481.1,98.718,anabaena_variabilis_atcc29413_tr|Q3M9Q7|Q3M9Q7_TRIV2,93.59,nostoc_azollae_0708_tr|D7DZ40|D7DZ40_NOSA0,96.154,nostoc_sp_pcc7524_tr|K9QRG0|K9QRG0_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,80.597,arthrospira_maxima_cs-328_tr|B5W1W7|B5W1W7_LIMMA,80.597,lyngbya_aestuarii_bl0902_tr|K8GJZ2|K8GJZ2_9CYAN,0,,0,,0,,0.0,,0.0,,0,,0,,96.4745
anabaena_sp_pcc7120_WP_010994242.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994242.1,82.906,nostoc_punctiforme_pcc73102_WP_012407482.1,98.276,anabaena_variabilis_atcc29413_tr|Q3M9Q6|Q3M9Q6_TRIV2,81.034,nostoc_azollae_0708_tr|D7E4I3|D7E4I3_NOSA0,84.685,nostoc_sp_pcc7524_tr|K9QP36|K9QP36_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,86.72525
anabaena_sp_pcc7120_WP_010994246.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994246.1,83.673,nostoc_punctiforme_pcc73102_WP_012409072.1,97.976,anabaena_variabilis_atcc29413_sp|Q3M9Q2|RNPH_TRIV2,81.148,nostoc_azollae_0708_tr|D7E4G9|D7E4G9_NOSA0,87.755,nostoc_sp_pcc7524_tr|K9QNM3|K9QNM3_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,87.638
anabaena_sp_pcc7120_WP_010994265.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994265.1,85.0,nostoc_punctiforme_pcc73102_WP_012408517.1,94.167,anabaena_variabilis_atcc29413_tr|Q3MD51|Q3MD51_TRIV2,84.167,nostoc_azollae_0708_tr|D7E202|D7E202_NOSA0,89.167,nostoc_sp_pcc7524_tr|K9QNQ4|K9QNQ4_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,88.12525
anabaena_sp_pcc7120_WP_010994268.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994268.1,84.504,nostoc_punctiforme_pcc73102_WP_041565292.1,98.969,anabaena_variabilis_atcc29413_tr|Q3MD49|Q3MD49_TRIV2,84.43,nostoc_azollae_0708_tr|D7E1Q1|D7E1Q1_NOSA0,90.175,nostoc_sp_pcc7524_tr|K9QR16|K9QR16_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,89.51950000000001
anabaena_sp_pcc7120_WP_010994273.1,1,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994273.1,92.57,nostoc_punctiforme_pcc73102_WP_012408512.1,95.666,anabaena_variabilis_atcc29413_tr|Q3MD44|Q3MD44_TRIV2,85.139,nostoc_azollae_0708_tr|D7E1P6|D7E1P6_NOSA0,90.712,nostoc_sp_pcc7524_tr|K9QR21|K9QR21_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,81.765,arthrospira_maxima_cs-328_tr|B5W3H4|B5W3H4_LIMMA,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,91.02175
anabaena_sp_pcc7120_WP_010994282.1,3,10,5,5,100.0,anabaena_sp_pcc7120_WP_010994282.1,94.318,nostoc_punctiforme_pcc73102_WP_012410221.1,100.0,anabaena_variabilis_atcc29413_sp|Q3MD39|Y1474_TRIV2,89.773,nostoc_azollae_0708_tr|D7DZ85|D7DZ85_NOSA0,95.455,nostoc_sp_pcc7524_tr|K9QPD5|K9QPD5_NOSS7,84.524,crocosphaera_subtropica_atcc51142_sp|B1WVE8|Y4590_CROS5,84.524,cyanothece_sp_atcc51142_sp|B1WVE8|Y4590_CROS5,87.5,crocosphaera_watsonii_wh8501_tr|Q4C9G2|Q4C9G2_CROWT,82.955,gloeothece_sp_6803_sp|B7KFA6|Y3427_GLOC7,82.955,cyanosphaera_ocelotica_wh8902_sp|B7KFA6|Y3427_GLOC7,0,,83.951,arthrospira_maxima_cs-328_tr|B5W754|B5W754_LIMMA,81.818,lyngbya_aestuarii_bl0902_tr|K8GMH9|K8GMH9_9CYAN,0,,0,,0,,82.143,synechococcus_elongatus_pcc7942_sp|P74607|Y2874_SYNY3,0.0,,0,,0,,94.8865
anabaena_sp_pcc7120_WP_010994284.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994284.1,87.283,nostoc_punctiforme_pcc73102_WP_012410219.1,98.256,anabaena_variabilis_atcc29413_sp|P31092|PSAL_TRIV2,85.549,nostoc_azollae_0708_tr|D7DZ83|D7DZ83_NOSA0,90.116,nostoc_sp_pcc7524_tr|K9QNS0|K9QNS0_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,90.30099999999999
anabaena_sp_pcc7120_WP_010994285.1,1,6,1,5,100.0,anabaena_sp_pcc7120_WP_010994285.1,97.959,nostoc_punctiforme_pcc73102_WP_012410218.1,97.959,anabaena_variabilis_atcc29413_sp|P23080|PSAJ_TRIV2,97.959,nostoc_azollae_0708_tr|D7DZ82|D7DZ82_NOSA0,97.959,nostoc_sp_pcc7524_tr|K9QQ34|K9QQ34_NOSS7,0.0,,0.0,,80.556,crocosphaera_watsonii_wh8501_tr|Q4CB20|Q4CB20_CROWT,0.0,,0.0,,0,,0.0,,82.5,lyngbya_aestuarii_bl0902_tr|K8GLP7|K8GLP7_9CYAN,0,,0,,0,,0.0,,0.0,,0,,0,,97.959
anabaena_sp_pcc7120_WP_010994286.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994286.1,83.537,nostoc_punctiforme_pcc73102_WP_012410217.1,99.39,anabaena_variabilis_atcc29413_sp|P31091|PSAF_TRIV2,86.585,nostoc_azollae_0708_tr|D7DZ81|D7DZ81_NOSA0,95.122,nostoc_sp_pcc7524_tr|K9QR31|K9QR31_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,91.1585
anabaena_sp_pcc7120_WP_010994287.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994287.1,85.549,nostoc_punctiforme_pcc73102_WP_012410216.1,95.954,anabaena_variabilis_atcc29413_sp|Q3MD34|TSAD_TRIV2,83.768,nostoc_azollae_0708_tr|D7DZ80|D7DZ80_NOSA0,89.017,nostoc_sp_pcc7524_tr|K9QPE2|K9QPE2_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,88.57199999999999
anabaena_sp_pcc7120_WP_010994289.1,2,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994289.1,99.582,nostoc_punctiforme_pcc73102_WP_012410214.1,99.582,anabaena_variabilis_atcc29413_tr|Q3MD32|Q3MD32_TRIV2,96.653,nostoc_azollae_0708_tr|D7DZ77|D7DZ77_NOSA0,98.745,nostoc_sp_pcc7524_tr|K9QNS5|K9QNS5_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,89.958,arthrospira_maxima_cs-328_tr|B5VX79|B5VX79_LIMMA,92.05,lyngbya_aestuarii_bl0902_tr|K8GID4|K8GID4_9CYAN,0,,0,,0,,0.0,,0.0,,0,,0,,98.6405
anabaena_sp_pcc7120_WP_010994290.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994290.1,87.5,nostoc_punctiforme_pcc73102_WP_012410213.1,100.0,anabaena_variabilis_atcc29413_tr|Q3MD31|Q3MD31_TRIV2,82.065,nostoc_azollae_0708_tr|D7DZ76|D7DZ76_NOSA0,93.989,nostoc_sp_pcc7524_tr|K9QQ39|K9QQ39_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,90.8885
anabaena_sp_pcc7120_WP_010994298.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994298.1,86.864,nostoc_punctiforme_pcc73102_WP_012410205.1,97.046,anabaena_variabilis_atcc29413_tr|Q3MD23|Q3MD23_TRIV2,82.911,nostoc_azollae_0708_tr|D7DX86|D7DX86_NOSA0,87.553,nostoc_sp_pcc7524_tr|K9QQC6|K9QQC6_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,88.5935
